condition,method,accuracy,median_loss,runs,loss_above_10
low_sample_noisy,bp,0.5142608642578125,0.6816975772380829,160,0.0
low_sample_noisy,dfa_random,0.3477422078450521,1350.76025390625,480,0.9708333333333333
low_sample_noisy,drtp_random,0.12823994954427084,2368498752.0,480,1.0
low_sample_noisy,fa_random,0.24472249348958333,11175.6279296875,480,1.0
low_sample_noisy,ndfa_random,0.6565256754557292,0.377235472202301,480,0.0
low_sample_noisy,ndfa_random_kronecker,0.6583277384440104,0.06076678633689875,480,0.0
low_sample_noisy,nmnc,0.46623331705729165,1.162848711013794,480,0.0
low_sample_noisy,vnc,0.4996831258138021,0.8647916316986084,480,0.0
mixed_context,bp,0.3801513671875,0.9253042936325072,160,0.0
mixed_context,dfa_random,0.253033447265625,1194.9971923828125,480,1.0
mixed_context,drtp_random,0.13014984130859375,681500296.0,480,1.0
mixed_context,fa_random,0.21514892578125,7373.2900390625,480,1.0
mixed_context,ndfa_random,0.4732172648111979,0.517354816198349,480,0.0
mixed_context,ndfa_random_kronecker,0.5003590901692708,0.07856260612607,480,0.0
mixed_context,nmnc,0.33055877685546875,1.3601769804954529,480,0.0
mixed_context,vnc,0.36166178385416664,1.0930503010749817,480,0.0
nuisance_dominant,bp,0.27932281494140626,0.7712554335594177,160,0.0
nuisance_dominant,dfa_random,0.13398793538411458,86170.8203125,480,1.0
nuisance_dominant,drtp_random,0.1256103515625,17291471872.0,480,1.0
nuisance_dominant,fa_random,0.12985280354817708,292349.625,480,0.9958333333333333
nuisance_dominant,ndfa_random,0.5325586954752605,0.4076273739337921,480,0.0
nuisance_dominant,ndfa_random_kronecker,0.5678176879882812,0.0551833380013704,480,0.0
nuisance_dominant,nmnc,0.2252690633138021,1.5230945944786072,480,0.0
nuisance_dominant,vnc,0.26817576090494794,1.160598874092102,480,0.0
task_aligned,bp,0.9198455810546875,0.7947093844413757,160,0.0
task_aligned,dfa_random,0.745086669921875,1.6589839458465576,480,0.25
task_aligned,drtp_random,0.4724634806315104,34180826.0,480,1.0
task_aligned,fa_random,0.6942525227864583,9635.47509765625,480,1.0
task_aligned,ndfa_random,0.9036026000976562,0.6032012701034546,480,0.0
task_aligned,ndfa_random_kronecker,0.8325754801432291,0.25988405942916865,480,0.0
task_aligned,nmnc,0.9106043497721354,0.8531457483768463,480,0.0
task_aligned,vnc,0.9174341837565104,0.813031405210495,480,0.0
